HOTEL_NAME,ADDRESS,COMMUNITY,Parish,Longitude,Latitude
North Bend Apartments,P.O. Box 322,Ocho Rios,St. Ann,-77.53517022,"18.477893611,"
Ocean Snads Resort,14 James Ave. Ocho Rios  P.O.,Ocho Rios,St. Ann,-77.53304294,18.4838741
Parkway Inn,"60 Main Street, Ocho Rios, P.",Ocho Rios,St. Ann,-77.52815552,18.484571
Pineapple Penthouse,P.O. Box 263 Ocho Rios P.O.,Ocho Rios,St. Ann,-77.49837161,18.04818807
Piper's Cove Resort,Salem Runaway Bay P.O. Box 29,Ocho Rios,St. Ann,-77.49668387,"18.052416517,"
Roaring Pavillion,Laughing Waters,Ocho Rios,St. Ann,-77.34171726,18.4620505
San Souci Lido (All I,Ocho Rios P.O. Box 103,Ocho Rios,St. Ann,-77.31692631,18.46994631
Sand Castles,Main St. Ocho Rios P.O.,Ocho Rios,St. Ann,-77.31556005,18.45302423
Sandals Dunns River,Mammee Bay,Ocho Rios,St. Ann,-77.31448199,18.45361419
Sandals Ocho Rios (Al,Main St. Ocho Rios P.O.,Ocho Rios,St. Ann,-77.31345597,18.46691662
Santa Maria Apartment,Pineapple Place,Ocho Rios,St. Ann,-77.31241985,18.45246762
Seville Manor,84 Main Street,Ocho Rios,St. Ann,-77.16198537,18.42430303
Silver Seas,66 James Ave. P.O. Box 81.,Ocho Rios,St. Ann,-77.11195293,18.40386349
Sombra Apartments,127 Main Street,Ocho Rios,St. Ann,-77.10853906,18.4067361
Stone Away Villa,7 DaCosta Drive,Ocho Rios,St. Ann,-77.10574064,18.39697881
Villa Gabriella,7 Dacosta Drive,Ocho Rios,St. Ann,-76.98293775,18.40413733
Village Hotel,54 Main St. Ocho Rios P.O.,Ocho Rios,St. Ann,-76.93447566,18.41427887
Four Winds Villa,"Old Fort Bay, Arawak P.O.",Old Fort,St. Ann,-77.94772391,18.43839331
Concorde Villa,"Rio Nuevo, Boscobell P.O.",Rio Nuevo,St. Ann,-78.07685135,"18.451061187,"
"""Las Palmas""",,Runaway Bay,St. Ann,-78.36851404,18.27004435
Alamanda Inn,"39 Salem Beach, P.O. Box 65",Runaway Bay,St. Ann,-78.36694566,18.27205774
Ambiance,P.O.Box 20 Runaway Bay.,Runaway Bay,St. Ann,-78.36647616,18.26704323
Bahia Villa,Main Street,Runaway Bay,St. Ann,-78.36478783,18.25751289
Bitterwood Villa,"Cardiff Hall, P.O. Box 64",Runaway Bay,St. Ann,-78.35571579,18.24619062
Boonoonoonoos Villa,"P.O. Box 1, Cardiff Hall",Runaway Bay,St. Ann,-78.34321715,18.34192629
Breezes Runaway Bay,P.O. Box 58 Runaway Bay,Runaway Bay,St. Ann,-78.34209612,18.27641665
Carousel Villa,"Mary Sonly Crescent, Cardiff",Runaway Bay,St. Ann,-78.33831664,18.3143731
Castle Peak,"Edward Avenue, Cardiff Hall",Runaway Bay,St. Ann,-78.33748042,18.31526725
Cherri Winds,Cardiff Hall,Runaway Bay,St. Ann,-78.33642355,18.30296875
Cindy Villa,"Edward Avenue, Cardiff Hall",Runaway Bay,St. Ann,-78.33278733,18.35148519
Club Caribbean,Runaway Bay P.O. Box 65,Runaway Bay,St. Ann,-78.21009537,18.20706617
Coral Cape,,Runaway Bay,St. Ann,-78.07572403,18.45017642
Descansada,Cardiff Hall,Runaway Bay,St. Ann,-78.05719092,18.44892755
Encore,"Dubloon Hill, Cardiff Hall",Runaway Bay,St. Ann,-78.04089786,18.19600799
Eslyn Villa,"Edward Avenue, Cardiff Hall",Runaway Bay,St. Ann,-78.02790477,18.16773126
Fairway Villa,,Runaway Bay,St. Ann,-78.00747628,18.45916132
Go Blue,Cardiff Hall,Runaway Bay,St. Ann,-77.92867191,18.48795664
Guango,"Cardiff Hall, P.O. Box 1",Runaway Bay,St. Ann,-77.92582968,18.47934678
Heart Runaway Bay,"8 Ricketts Ave, P.O. Box 98",Runaway Bay,St. Ann,-77.92295084,18.48203305
Hedonism 3,P.O. Box 250 Runaway Bay,Runaway BAy,St. Ann,-77.92221369,18.47695465
Idle Hours,"c/o 35 Half way tree rd, Kgn",Runaway Bay,St. Ann,-77.88037147,18.51943073
Kingsville Villa,"Edward Avenue, Cardiff Hall",Runaway Bay,St. Ann,-77.86415921,18.51876734
La Alba Villa,Cardiff Hall,Runaway Bay,St. Ann,-77.86230822,18.51869781
Man Alli,"Palmetto Terrace, Cardiff Hal",Runaway Bay,St. Ann,-77.8119906,18.52103254
Par Villa,Cardiff Hall,Runaway Bay,St. Ann,-77.52969422,18.48483272
Peppers,Cardiff Hall,Runaway Bay,St. Ann,-77.52495217,18.04394467
Pimento Villa,"Dubloon Rd, P.O Box 81 Cardif",Runaway Bay,St. Ann,-77.50069578,18.03633233
Rambling Rose,"Edward Avenue, Cardiff Hall",Runaway Bay,St. Ann,-77.39466447,18.44955112
Salem Guest House,"Salem, Runaway Bay P.O.",Runaway Bay,St. Ann,-77.32137987,"18.457244399,"
San Piper Villa,"Edward Avenue, Cardiff Hall",Runaway Bay,St. Ann,-77.3173856,18.46647378
Siesta,Main Street,Runaway Bay,St. Ann,-77.14320963,18.42051189
Silver Creek Resort,"Cardiff Hall, P.O. Box 227",Runaway Bay,St. Ann,-77.1390321,18.41699127
Spanish Cove,P.O. Box 322,Runaway Bay,St. Ann,-77.1076652,18.40434937
Sunflower Villas,"Salem, P.O. Box 150",Runaway Bay,St. Ann,-77.10247526,18.39910437
Tamarind Tree Resort,P.O. Box 325 Runaway BAy St.,Runaway Bay,St. Ann,-77.09529012,18.41239078
Valley High Villa,"Cardiff Hall, Runaway Bay P.O",Runaway Bay,St. Ann,-77.03935747,18.4204923
"Villa Mer ""C""","Edward Avenue,Cardiff Hall",Runaway Bay,St. Ann,-76.97858354,18.40424541
Villa Xanadu,"Edward Avenue, P.O. Box 524",Runaway Bay,St. Ann,-76.9434736,18.40363158
Whilby Resort Ltd,P.O. Box 111,Runaway Bay,St. Ann,-76.80202155,18.30652332
GoldFlower Apt.,"Salem, St. Ann",Salem,St. Ann,-77.92778977,18.49001435
Pastell Villa,"Main Street, Salem",Salem,St. Ann,-77.52725966,18.48282863
High Hope,"P.O. Box 11, Edge Hill Road",St. Ann's Bay,St. Ann,-77.91896678,18.49031418
Leisure Class Country,20 Top Road,St. Ann's Bay,St. Ann,-77.85336596,18.51580761
Bougainvillea,lot 81 Jamaica Beach,Tower Isle,St. Ann,-78.34312917,18.28496478
Bay Vista Village,,,St. Ann,-78.36321517,18.25550326
Carey Island,White River,White River,St. Ann,-78.33929629,18.29275716
Caribbean Isle Hotel,P.O. Box 119,St. Ann's Bay,St. Ann,-78.33889182,"18.297031729,"
Club Jamaica,"Main Street, P.O. Box 342",St. Ann's Bay,St. Ann,-78.19739667,18.45314008
Enchanted Gardens Hot,P.O. Box 284,St. Ann's Bay,St. Ann,-78.05087563,18.44763128
Little Pub Inn,"59 Main Street, P.O. Box 256",St. Ann's Bay,St. Ann,-77.8499363,18.51780958
